iter	Passed	Remaining
170	544	2641
171	548	2638
172	551	2635
173	554	2633
174	556	2623
175	559	2617
176	562	2615
177	565	2613
178	569	2611
179	571	2603
180	574	2601
181	578	2599
182	582	2598
183	585	2596
184	589	2594
185	592	2592
186	595	2590
187	599	2588
188	602	2586
189	606	2584
190	609	2582
191	613	2581
192	616	2579
193	620	2577
194	623	2574
195	626	2571
196	630	2568
197	633	2565
198	636	2562
199	639	2559
200	643	2557
201	646	2554
202	649	2548
203	652	2545
204	655	2541
205	658	2539
206	661	2535
207	665	2532
208	668	2529
209	671	2527
210	674	2523
211	678	2521
212	681	2518
213	684	2515
214	688	2513
215	691	2511
216	695	2508
217	698	2505
218	702	2503
219	705	2500
220	708	2497
221	711	2493
222	714	2491
223	718	2488
224	721	2484
225	724	2480
226	727	2477
227	730	2474
228	734	2472
229	737	2470
230	740	2466
231	743	2462
232	746	2458
233	748	2450
234	751	2446
235	754	2442
236	757	2438
237	760	2435
238	763	2431
239	766	2427
240	769	2422
241	772	2418
242	775	2415
243	778	2412
244	781	2408
245	784	2404
246	787	2400
247	790	2396
248	793	2394
249	796	2389
250	799	2385
251	802	2381
252	805	2378
253	808	2374
254	811	2370
255	814	2366
256	817	2362
257	820	2359
258	823	2356
259	826	2351
260	829	2347
261	832	2343
262	835	2341
263	838	2337
264	841	2334
265	844	2329
266	847	2325
267	850	2322
268	853	2318
269	856	2314
270	859	2310
271	861	2307
272	865	2304
273	868	2301
274	871	2298
275	874	2295
276	878	2291
277	881	2289
278	885	2287
279	888	2284
280	891	2282
281	895	2280
282	899	2277
283	902	2275
284	905	2272
285	909	2271
286	913	2269
287	917	2267
288	920	2265
289	924	2262
290	927	2260
291	931	2257
292	934	2254
293	937	2251
294	940	2248
295	944	2245
296	947	2242
297	950	2239
298	954	2237
299	957	2234
300	960	2231
301	963	2227
302	966	2223
303	970	2222
304	973	2218
305	976	2215
306	979	2211
307	982	2207
308	985	2204
309	988	2200
310	991	2197
311	994	2193
312	997	2189
313	998	2182
314	1001	2178
315	1004	2174
316	1007	2171
317	1010	2167
318	1013	2164
319	1016	2161
320	1019	2157
321	1022	2153
322	1025	2150
323	1029	2147
324	1032	2143
325	1035	2140
326	1037	2135
327	1040	2131
328	1043	2127
329	1046	2125
330	1049	2121
331	1052	2118
332	1055	2114
333	1058	2110
334	1061	2107
335	1064	2103
336	1067	2099
337	1070	2096
338	1073	2092
339	1076	2090
340	1080	2087
341	1083	2084
342	1086	2080
343	1089	2077
344	1092	2073
345	1095	2070
346	1098	2066
347	1101	2062
348	1104	2059
349	1106	2055
350	1109	2052
351	1112	2048
352	1115	2044
353	1118	2041
354	1121	2037
355	1124	2034
356	1127	2030
357	1130	2026
358	1133	2023
359	1136	2020
360	1139	2016
361	1142	2013
362	1144	2008
363	1147	2004
364	1148	1998
365	1151	1995
366	1154	1991
367	1157	1988
368	1160	1984
369	1163	1980
370	1166	1977
371	1169	1973
372	1172	1970
373	1174	1965
374	1176	1961
375	1180	1958
376	1182	1954
377	1185	1951
378	1188	1947
379	1191	1944
380	1194	1941
381	1197	1937
382	1200	1934
383	1203	1930
384	1206	1927
385	1209	1923
386	1212	1920
387	1215	1916
388	1217	1912
389	1221	1909
390	1224	1906
391	1227	1903
392	1229	1899
393	1232	1896
394	1235	1892
395	1238	1889
396	1240	1884
397	1243	1880
398	1246	1877
399	1249	1873
400	1252	1870
401	1255	1867
402	1258	1864
403	1261	1860
404	1264	1857
405	1267	1853
406	1269	1849
407	1272	1846
408	1275	1842
409	1278	1839
410	1281	1835
411	1283	1832
412	1287	1829
413	1289	1825
414	1292	1822
415	1295	1818
416	1298	1815
417	1301	1812
418	1305	1810
419	1308	1806
420	1311	1803
421	1313	1799
422	1317	1796
423	1320	1793
424	1323	1790
425	1326	1786
426	1328	1783
427	1331	1780
428	1334	1776
429	1337	1772
430	1339	1768
431	1342	1765
432	1346	1762
433	1349	1759
434	1352	1756
435	1355	1752
436	1357	1749
437	1360	1746
438	1363	1742
439	1366	1739
440	1369	1736
441	1371	1731
442	1375	1728
443	1378	1726
444	1382	1724
445	1385	1721
446	1389	1718
447	1392	1716
448	1396	1713
449	1399	1710
450	1402	1707
451	1406	1704
452	1409	1701
453	1412	1699
454	1415	1695
455	1418	1692
456	1422	1690
457	1425	1686
458	1428	1683
459	1431	1680
460	1434	1677
461	1438	1674
462	1441	1671
463	1444	1668
464	1447	1665
465	1450	1661
466	1453	1658
467	1456	1655
468	1459	1651
469	1462	1648
470	1465	1645
471	1468	1642
472	1471	1639
473	1474	1635
474	1476	1632
475	1480	1629
476	1483	1626
477	1486	1623
478	1489	1619
479	1492	1616
480	1495	1613
481	1498	1610
482	1501	1607
483	1504	1603
484	1507	1600
485	1510	1597
486	1514	1594
487	1517	1591
488	1520	1588
489	1523	1585
490	1526	1582
491	1529	1579
492	1532	1575
493	1535	1572
494	1538	1569
495	1541	1565
496	1543	1562
497	1546	1559
498	1549	1555
499	1552	1552
500	1555	1549
501	1558	1546
502	1561	1543
503	1564	1539
504	1567	1536
505	1570	1533
506	1573	1529
507	1576	1526
508	1579	1523
509	1582	1520
510	1584	1516
511	1588	1513
512	1591	1510
513	1593	1507
514	1596	1503
515	1599	1500
516	1602	1497
517	1605	1493
518	1608	1490
519	1611	1487
520	1614	1483
521	1617	1480
522	1620	1477
523	1623	1474
524	1626	1471
525	1628	1467
526	1632	1464
527	1634	1461
528	1637	1458
529	1640	1454
530	1643	1451
531	1646	1448
532	1649	1445
533	1652	1442
534	1655	1438
535	1658	1435
536	1661	1432
537	1664	1429
538	1667	1426
539	1670	1422
540	1673	1419
541	1676	1416
542	1679	1413
543	1681	1409
544	1684	1406
545	1687	1403
546	1690	1400
547	1694	1397
548	1697	1394
549	1699	1390
550	1701	1386
551	1704	1383
552	1707	1379
553	1710	1377
554	1713	1374
555	1717	1371
556	1720	1368
557	1724	1365
558	1727	1362
559	1731	1360
560	1734	1357
561	1737	1354
562	1741	1351
563	1744	1348
564	1747	1345
565	1751	1342
566	1754	1340
567	1758	1337
568	1761	1334
569	1765	1331
570	1768	1328
571	1772	1325
572	1775	1323
573	1779	1320
574	1782	1317
575	1785	1314
576	1789	1311
577	1792	1308
578	1796	1306
579	1800	1303
580	1803	1300
581	1807	1297
582	1810	1295
583	1814	1292
584	1815	1288
585	1819	1285
586	1822	1282
587	1826	1279
588	1830	1277
589	1833	1274
590	1836	1271
591	1840	1268
592	1843	1265
593	1846	1262
594	1849	1259
595	1852	1255
596	1856	1252
597	1859	1249
598	1862	1246
599	1865	1243
600	1868	1240
601	1872	1237
602	1875	1234
603	1878	1231
604	1882	1228
605	1886	1226
606	1889	1223
607	1892	1220
608	1895	1217
609	1899	1214
610	1902	1211
611	1906	1208
612	1909	1205
613	1912	1202
614	1914	1198
615	1918	1195
616	1921	1192
617	1924	1189
618	1927	1186
619	1930	1183
620	1933	1180
621	1937	1177
622	1940	1174
623	1943	1171
624	1947	1168
625	1950	1165
626	1954	1162
627	1957	1159
628	1960	1156
629	1963	1153
630	1966	1149
631	1969	1146
632	1972	1143
633	1975	1140
634	1978	1137
635	1981	1134
636	1984	1130
637	1987	1127
638	1990	1124
639	1992	1120
640	1995	1117
641	1998	1114
642	2001	1111
643	2004	1108
644	2007	1104
645	2010	1101
646	2013	1098
647	2016	1095
648	2019	1092
649	2022	1089
650	2025	1085
651	2028	1082
652	2031	1079
653	2034	1076
654	2037	1073
655	2040	1069
656	2043	1066
657	2046	1063
658	2049	1060
659	2052	1057
660	2056	1054
661	2059	1051
662	2062	1048
663	2066	1045
664	2069	1042
665	2072	1039
666	2075	1036
667	2078	1033
668	2082	1030
669	2085	1027
670	2089	1024
671	2092	1021
672	2095	1018
673	2099	1015
674	2102	1012
675	2105	1009
676	2108	1006
677	2112	1003
678	2115	1000
679	2118	996
680	2121	993
681	2124	990
682	2127	987
683	2130	984
684	2133	981
685	2136	977
686	2139	974
687	2142	971
688	2145	968
689	2147	964
690	2150	961
691	2153	958
692	2156	955
693	2159	952
694	2162	948
695	2165	945
696	2168	942
697	2171	939
698	2173	936
699	2176	932
700	2179	929
701	2182	926
702	2185	923
703	2188	920
704	2191	916
705	2194	913
706	2197	910
707	2200	907
708	2203	904
709	2205	900
710	2208	897
711	2211	894
712	2214	891
713	2218	888
714	2220	885
715	2223	882
716	2226	878
717	2229	875
718	2232	872
719	2235	869
720	2238	866
721	2241	862
722	2243	859
723	2246	856
724	2249	853
725	2252	850
726	2255	846
727	2258	843
728	2261	840
729	2264	837
730	2267	834
731	2269	831
732	2272	827
733	2276	824
734	2278	821
735	2281	818
736	2284	815
737	2287	812
738	2290	809
739	2293	805
740	2296	802
741	2299	799
742	2301	796
743	2304	793
744	2307	789
745	2310	786
746	2313	783
747	2316	780
748	2319	777
749	2322	774
750	2325	770
751	2327	767
752	2330	764
753	2334	761
754	2336	758
755	2339	755
756	2342	751
757	2345	748
758	2348	745
759	2351	742
760	2354	739
761	2357	736
762	2360	733
763	2363	730
764	2366	726
765	2369	723
766	2372	720
767	2375	717
768	2377	714
769	2381	711
770	2383	708
771	2386	704
772	2388	701
773	2391	698
774	2394	695
775	2398	692
776	2401	689
777	2403	685
778	2406	682
779	2409	679
780	2412	676
781	2415	673
782	2417	670
783	2420	666
784	2424	663
785	2427	660
786	2430	657
787	2433	654
788	2436	651
789	2439	648
790	2442	645
791	2444	642
792	2447	639
793	2450	635
794	2454	632
795	2456	629
796	2459	626
797	2462	623
798	2465	620
799	2468	617
800	2472	614
801	2474	611
802	2477	607
803	2480	604
804	2483	601
805	2485	598
806	2488	595
807	2491	591
808	2493	588
809	2496	585
810	2499	582
811	2502	579
812	2505	576
813	2508	573
814	2511	570
815	2514	567
816	2517	563
817	2520	560
818	2523	557
819	2526	554
820	2529	551
821	2533	548
822	2536	545
823	2539	542
824	2542	539
825	2545	536
826	2548	533
827	2551	529
828	2554	526
829	2556	523
830	2560	520
831	2563	517
832	2565	514
833	2568	511
834	2571	508
835	2574	505
836	2577	501
837	2580	498
838	2583	495
839	2586	492
840	2589	489
841	2592	486
842	2595	483
843	2597	480
844	2600	477
845	2603	473
846	2606	470
847	2609	467
848	2612	464
849	2615	461
850	2618	458
851	2621	455
852	2624	452
853	2626	449
854	2629	445
855	2632	442
856	2635	439
857	2638	436
858	2641	433
859	2644	430
860	2647	427
861	2649	424
862	2652	421
863	2655	417
864	2657	414
865	2660	411
866	2663	408
867	2666	405
868	2669	402
869	2672	399
870	2675	396
871	2678	393
872	2681	390
873	2683	386
874	2686	383
875	2689	380
876	2692	377
877	2695	374
878	2698	371
879	2701	368
880	2704	365
881	2707	362
882	2710	359
883	2713	356
884	2716	352
885	2719	349
886	2722	346
887	2725	343
888	2728	340
889	2731	337
890	2734	334
891	2737	331
892	2739	328
893	2742	325
894	2745	322
895	2748	319
896	2751	315
897	2754	312
898	2757	309
899	2760	306
900	2763	303
901	2765	300
902	2769	297
903	2771	294
904	2774	291
905	2777	288
906	2780	285
907	2783	282
908	2786	278
909	2789	275
910	2792	272
911	2795	269
912	2798	266
913	2801	263
914	2804	260
915	2807	257
916	2809	254
917	2813	251
918	2815	248
919	2818	245
920	2821	242
921	2824	238
922	2828	235
923	2831	232
924	2833	229
925	2836	226
926	2839	223
927	2842	220
928	2845	217
929	2848	214
930	2851	211
931	2854	208
932	2857	205
933	2860	202
934	2863	199
935	2866	195
936	2869	192
937	2872	189
938	2875	186
939	2878	183
940	2880	180
941	2882	177
942	2885	174
943	2888	171
944	2891	168
945	2894	165
946	2897	162
947	2900	159
948	2903	156
949	2906	152
950	2909	149
951	2911	146
952	2915	143
953	2918	140
954	2921	137
955	2923	134
956	2926	131
957	2928	128
958	2931	125
959	2935	122
960	2938	119
961	2941	116
962	2945	113
963	2947	110
964	2950	107
965	2954	103
966	2957	100
967	2961	97
968	2964	94
969	2967	91
970	2968	88
971	2972	85
972	2975	82
973	2979	79
974	2982	76
975	2985	73
976	2988	70
977	2993	67
978	2997	64
979	3000	61
980	3004	58
981	3007	55
982	3011	52
983	3014	49
984	3018	45
985	3022	42
986	3025	39
987	3029	36
988	3032	33
989	3036	30
990	3039	27
991	3043	24
992	3046	21
993	3049	18
994	3053	15
995	3056	12
996	3060	9
997	3063	6
998	3066	3
999	3069	0
